year,ndep,ndep_updated
1801,5.00E-04,2.50E-04
1802,5.00E-04,2.50E-04
1803,5.00E-04,2.50E-04
1804,5.00E-04,2.50E-04
1805,5.00E-04,2.50E-04
1806,5.00E-04,2.50E-04
1807,5.00E-04,2.50E-04
1808,5.00E-04,2.50E-04
1809,5.00E-04,2.50E-04
1810,5.00E-04,2.50E-04
1811,5.00E-04,2.50E-04
1812,5.00E-04,2.50E-04
1813,5.00E-04,2.50E-04
1814,5.00E-04,2.50E-04
1815,5.00E-04,2.50E-04
1816,5.00E-04,2.50E-04
1817,5.00E-04,2.50E-04
1818,5.00E-04,2.50E-04
1819,5.00E-04,2.50E-04
1820,5.00E-04,2.50E-04
1821,5.00E-04,2.50E-04
1822,5.00E-04,2.50E-04
1823,5.00E-04,2.50E-04
1824,5.00E-04,2.50E-04
1825,5.00E-04,2.50E-04
1826,5.00E-04,2.50E-04
1827,5.00E-04,2.50E-04
1828,5.00E-04,2.50E-04
1829,5.00E-04,2.50E-04
1830,5.00E-04,2.50E-04
1831,5.00E-04,2.50E-04
1832,5.00E-04,2.50E-04
1833,5.00E-04,2.50E-04
1834,5.00E-04,2.50E-04
1835,5.00E-04,2.50E-04
1836,5.00E-04,2.50E-04
1837,5.00E-04,2.50E-04
1838,5.00E-04,2.50E-04
1839,5.00E-04,2.50E-04
1840,5.00E-04,2.50E-04
1841,5.00E-04,2.50E-04
1842,5.00E-04,2.50E-04
1843,5.00E-04,2.50E-04
1844,5.00E-04,2.50E-04
1845,5.00E-04,2.50E-04
1846,5.00E-04,2.50E-04
1847,5.00E-04,2.50E-04
1848,5.00E-04,2.50E-04
1849,5.00E-04,2.50E-04
1850,5.00E-04,2.50E-04
1851,5.00E-04,2.50E-04
1852,5.00E-04,2.50E-04
1853,5.00E-04,2.50E-04
1854,5.00E-04,2.50E-04
1855,5.00E-04,2.50E-04
1856,5.00E-04,2.50E-04
1857,5.00E-04,2.50E-04
1858,5.00E-04,2.50E-04
1859,5.00E-04,2.50E-04
